tmdbId,vote_average,vote_count,popularity
862,7.97,19301,19.7013
8844,7.242,10973,3.0323
15602,6.483,410,2.6732
31357,6.26,179,5.3505
11862,6.268,778,3.8865
949,7.922,7923,12.1374
11860,6.2,657,5.4052
45325,5.243,202,2.3539
9091,6.006,774,2.1323
710,6.897,4151,5.9508
9087,6.5,754,4.1505
12110,6.1,1049,4.3622
21032,7.303,2117,2.9769
10858,6.873,385,1.9431
1408,5.787,594,4.541
524,7.993,6255,9.1936
4584,7.42,1778,7.8793
5,5.874,2759,3.4033
9273,6.321,4373,4.1676
11517,5.851,818,3.6892
8012,6.507,1138,3.8144
1710,6.472,1176,4.7493
9691,6.493,1643,3.232
12665,6.998,692,5.391
451,7.246,1564,2.1966
16420,6.3,148,3.4725
9263,6.884,462,1.9893
17015,7.1,135,5.4686
902,7.249,1163,2.0934
37557,6.728,101,1.8174
9909,6.961,1217,5.0205
63,7.601,8785,6.0629
9598,6.251,3028,6.418
687,7.32,1433,7.2083
33689,6.514,935,4.7914
9603,7.262,4649,6.1804
34615,6.7,26,2.0222
31174,6.712,189,5.3637
11443,6.653,310,1.2721
35196,6.0,126,1.7535
9312,5.865,2412,3.7088
577,6.579,844,4.8586
11861,6.4,189,2.3742
807,8.377,22301,14.4002
10530,6.912,5919,9.4615
8391,6.3,86,2.1325
629,8.172,10971,9.3
11448,6.714,721,6.1162
49133,7.1,62,7.6676
26441,5.554,193,3.47
97406,5.717,46,3.2821
9089,6.2,187,4.6847
11010,7.928,1182,1.7117
11359,6.456,657,5.0552
17182,6.183,442,3.7683
2054,6.9,435,3.7272
10607,7.026,1418,6.3545
19760,4.938,97,3.0731
9536,4.513,388,3.8175
11525,3.29,164,1.2223
4482,6.051,315,7.1377
10634,7.128,1935,5.6522
755,7.03,6249,5.222
11859,5.132,322,4.2298
28387,6.2,228,2.4811
48750,6.657,83,5.1213
20927,5.8,120,2.7054
36929,4.597,77,6.7691
9102,6.21,571,3.4221
124626,7.5,10,2.2578
27526,6.004,278,2.5941
9623,5.658,422,6.3819
46785,7.4,99,1.0024
400,6.447,412,6.2143
880,6.907,135,5.9685
146599,3.6,5,1.1932
8447,6.1,55,1.8807
10534,6.275,386,3.2544
17414,5.4,238,3.3814
13997,6.073,438,6.8685
2086,6.234,768,3.1703
9095,5.8,330,9.4874
12158,5.1,614,1.7842
9283,6.656,385,9.7896
9208,6.061,1603,7.1098
40154,7.085,42,1.8957
406,8.086,4345,9.0127
63076,6.6,14,3.0803
11062,5.9,302,2.3433
13685,6.7,1131,3.235
47475,3.968,62,3.1611
2045,5.598,112,3.7739
9614,6.675,3155,6.2976
688,7.708,2276,6.122
11907,6.157,35,0.6583
10874,6.7,436,3.0956
89333,7.5,8,1.4394
197,7.9,10703,10.1471
103,8.132,12985,11.7697
33542,6.81,1105,3.3032
43566,5.907,205,1.8103
51352,7.7,23,1.9634
16934,6.587,52,0.3933
10324,5.322,59,4.5221
78406,4.3,22,0.3629
32119,7.19,42,5.1153
11066,5.643,601,5.027
11104,7.969,2054,6.5411
2074,6.2,261,2.7729
27793,4.473,411,2.2785
290157,7.1,7,0.107
110972,6.6,13,3.7745
11863,5.472,284,2.3478
9101,6.367,496,5.8484
5757,2.786,7,0.9453
9302,6.267,231,1.6376
11000,7.037,1256,3.2249
16388,5.995,95,1.1004
9737,6.825,6711,9.6119
30765,5.6,93,6.8606
10474,7.403,2114,3.1352
22279,6.541,68,1.9385
30157,6.192,99,1.0883
568,7.5,5675,4.1622
11780,6.703,681,1.6967
34996,6.457,302,7.0444
414,5.448,5414,4.9604
649,7.32,973,4.3968
1873,6.554,83,1.1762
5894,6.511,176,2.9313
1775,5.732,235,1.7503
8839,6.332,4791,5.6971
20649,6.7,339,2.8607
10329,5.58,940,2.3915
8963,7.181,1900,2.9211
26564,7.507,269,1.8974
8068,6.923,3018,5.9383
8512,6.455,437,4.1276
1572,7.274,6419,5.9744
13552,6.5,295,2.7176
6520,6.107,1289,7.5194
9073,5.927,604,2.7044
10428,6.384,1392,3.5008
17447,6.201,67,5.1307
9886,5.763,1453,6.8367
9482,5.848,2615,3.3252
19326,4.3,126,2.2279
9344,6.9,1220,4.8385
9071,7.2,305,2.6554
8973,5.946,362,2.8253
15730,5.7,45,5.2395
47608,5.168,119,3.6598
2293,6.754,1316,5.1427
9070,5.857,738,4.2289
48787,6.4,149,5.9108
34574,5.5,54,1.9686
1642,6.034,1448,4.4198
11472,5.7,681,2.1638
36196,6.375,85,2.1017
11980,6.498,537,8.4523
58372,6.4,7,1.4114
32646,6.949,325,2.2053
10533,6.113,501,5.0101
10802,5.579,1321,5.9559
10149,7.2,510,0.7348
18402,5.6,247,3.7111
9348,5.972,1758,3.8511
281,7.002,1460,2.0663
5967,7.4,849,2.6389
47939,6.232,82,3.1258
36834,6.439,542,5.8873
9090,7.37,723,4.0761
3512,5.842,972,4.2356
52856,5.9,29,3.3396
77350,5.2,18,2.8813
9560,7.359,1089,3.9604
9804,6.229,3901,7.4715
31611,5.144,84,3.2893
65796,5.736,165,5.5724
49805,6.439,57,3.8059
26258,5.344,126,7.1803
50797,6.987,193,1.6272
19155,7.302,174,1.5837
76,7.969,4477,7.7179
11017,6.184,1731,3.6451
37141,5.188,176,1.9394
9382,6.364,243,3.4357
6715,7.927,336,5.9792
18256,6.107,233,2.1658
22625,6.2,93,2.3877
2292,7.383,2644,5.5605
1909,6.7,775,2.5163
8984,6.256,1230,5.5978
4954,5.7,435,1.6144
62488,4.978,45,2.7751
10531,7.105,531,2.8407
11929,7.3,832,1.7595
8467,6.639,6458,8.9341
10451,7.6,378,2.9347
20156,6.6,373,3.4334
18395,4.1,95,1.3937
522,7.5,2433,5.0498
397,6.458,767,2.6133
10525,6.3,159,4.9758
27985,6.151,93,4.3387
15789,7.007,1857,5.5812
27303,5.225,167,0.7086
21183,7.099,273,2.8854
10954,6.575,179,7.5448
47867,5.3,32,3.0895
14275,7.601,318,3.7342
1024,6.97,984,2.6315
17207,5.441,76,11.2595
13701,7.1,356,8.3886
14819,6.149,398,8.0043
32631,5.7,118,8.1019
11777,6.018,473,3.5711
628,7.381,6190,6.0842
87729,5.033,45,2.4843
18713,4.152,33,4.3701
6280,5.2,1576,4.4228
9061,6.2,598,4.4227
37108,4.955,187,2.9258
6071,5.681,345,1.98
11,8.204,21666,16.2248
9587,7.28,1286,6.6344
19101,7.618,1013,3.511
49980,7.203,101,4.8606
18183,7.278,539,5.696
4476,7.383,2750,8.5905
11008,6.442,852,7.3408
32325,6.6,35,1.6473
43742,5.4,60,4.5742
28313,6.5,102,9.4152
11318,6.773,249,3.3996
3036,6.438,1311,7.1669
40490,5.36,182,5.167
24070,5.35,213,1.8927
8986,6.379,298,6.3807
10510,6.745,1096,7.9494
17402,5.2,58,1.3674
38722,7.444,81,1.8785
